場所コード,場所名,カテゴリ,月,火,水,木,金,土,日,性別制約,表示順,有効
病院MR,病院MRI,MRI,3,3,3,3,3,2,0,なし,1,○
クMR,クリニックMRI,MRI,4,4,4,4,5,4,0,なし,2,○
CT,CT,CT,4,4,4,4,4,3,0,なし,3,○
病CT,病院CT,CT,6,6,6,6,6,3,0,なし,4,○
ア,アンギオ,IVR,1,2,1,2,1,0,0,なし,5,○
心,心カテ,IVR,1,1,1,1,1,1,0,なし,6,○
ク,クリニック一般,一般,5,5,6,5,5,3,0,なし,7,○
ポ,ポータブル,一般,2,2,2,2,2,2,0,なし,8,○
精,病院TV,TV,1,1,1,1,1,1,0,なし,9,○
MG,マンモグラフィ,女性限定,1,1,1,1,1,1,0,女性のみ,10,○
DR,クリニックTV,TV,1,1,1,1,1,1,0,なし,11,○
HB,HB,IVR,1,1,1,1,1,0,0,なし,12,○
OP,OP,一般,1,1,1,1,1,0,0,なし,13,○
PICC,PICC,一般,1,0,1,0,1,0,0,なし,14,×
入,病院一般,一般,2,2,2,2,2,2,0,なし,15,○
出,日祝日出勤,特殊,0,0,0,0,0,0,0,なし,16,○
超遅,超遅番,時間帯,1,1,1,1,1,1,0,なし,17,○
勤務表作成,勤務表作成,事務,0,0,0,0,0,0,0,なし,20,○
ク遅,クリニック一般,一般,1,1,1,1,1,1,0,なし,21,○
M遅,クリニックMRI遅番,MRI,1,1,1,1,0,0,0,なし,22,○
,,,,,,,,,,,,
---パワーバランス設定---,,,,,,,,,,,,
,,,,,,,,,,,,
場所コード,最低ランク,最低人数,CD上限,D単独禁止,,,,,,,,
病院MR,A,1,,○,,,,,,,,
病院MR,B,2,,○,,,,,,,,
クMR,A,2,,○,,,,,,,,
クMR,B,3,,○,,,,,,,,
CT,A,1,,○,,,,,,,,
病CT,A,2,3,○,,,,,,,,
病CT,B,1,,○,,,,,,,,
ア,B,1,,○,,,,,,,,
心,B,1,,○,,,,,,,,
ク,A,3,,○,,,,,,,,
ポ,B,1,,×,,,,,,,,
精,B,1,,×,,,,,,,,
